framenum	queue density		dynamic density
219		0.232579		0.000253618
220		0.2316		0
221		0.231873		0
222		0.231819		0
223		0.231861		0
224		0.231674		0
225		0.231666		0.000195091
226		0.231811		0.000101447
227		0.231897		0
228		0.231885		0.0034414
229		0.231483		0.00784655
230		0.231561		0
231		0.231413		0.00324631
232		0.231417		0.0017285
233		0.231998		0
234		0.232037		0.0124468
235		0.232497		0.011725
236		0.232583		0.0110812
237		0.23231		0.0163096
238		0.231608		0.0153732
239		0.230976		0.0214483
240		0.230094		0.0211478
241		0.230289		0.013473
242		0.231194		0.0113348
243		0.231311		0.012915
244		0.231748		0.0204026
245		0.228701		0.0172148
246		0.229021		0.00538841
247		0.229887		0.0134535
248		0.230059		0.0115728
249		0.229692		0.012279
250		0.229567		0.00286783
251		0.229649		0.000140465
252		0.229403		0.00231378
253		0.228923		0.00275468
254		0.22883		0
255		0.228877		0
256		0.229196		0
257		0.229372		0
258		0.22945		0
259		0.22977		0
260		0.229692		0
261		0.229598		0.00444807
262		0.229212		0.0118732
263		0.229598		0.0191306
264		0.229618		0.018202
265		0.229829		0.0195676
266		0.229591		0.0179601
267		0.229661		0.014347
268		0.229505		0.0134339
269		0.229505		0.0811968
270		0.228061		0.010016
271		0.228081		0.0123414
272		0.227737		0.0116196
273		0.227722		0.0160091
274		0.228045		0
275		0.228479		0
276		0.228451		0
277		0.227694		0.00435833
278		0.226777		0.00188067
279		0.226098		0.00111202
280		0.226352		0.00414373
281		0.229181		0.00480704
282		0.230402		0.00694133
283		0.232778		0.0116664
284		0.235876		0.0107924
285		0.236805		0.0138866
286		0.239415		0.0153458
287		0.242139		0.0167232
288		0.243434		0.0183658
289		0.245916		0.0215731
290		0.247383		0.0206445
291		0.248354		0.0229934
292		0.249166		0.0210737
293		0.248148		0.0187248
294		0.248023		0.0193569
295		0.247145		0.0172577
296		0.246103		0.015061
297		0.245139		0.0144211
298		0.243048		0.0126614
299		0.240886		0.0110929
300		0.240258		0.0105817
301		0.237925		0.0088181
302		0.235666		0.00732761
303		0.234441		0.00739004
304		0.233005		0.00631314
305		0.232279		0.00554838
306		0.23169		0.00520892
307		0.231264		0.00611805
308		0.231311		0.00684378
309		0.230898		0.00600489
310		0.230991		0.00906001
311		0.232778		0.00550156
312		0.232767		0.012954
313		0.233254		0.0108705
314		0.235315		0.00488117
315		0.236036		0.00638727
316		0.235584		0.00479533
317		0.234706		0.00155682
318		0.233937		0.00431541
319		0.232665		0.0137851
320		0.232053		0.00234109
321		0.231651		0.00804554
322		0.230445		0.00639507
323		0.229778		0.00765146
324		0.229559		0.00316047
325		0.229676		0.00247375
326		0.229692		0.00603221
327		0.229552		0.00260641
328		0.229704		0.0023645
329		0.22995		0.00305902
330		0.229719		0.00226695
331		0.229914		0.00228646
332		0.229552		0.00148269
333		0.229384		0
334		0.229708		0
335		0.229622		0.000632094
336		0.229602		7.80363e-06
337		0.229606		0
338		0.229618		1.56073e-05
339		0.230055		0
340		0.230297		0.00358967
341		0.230484		0.00351163
342		0.230476		0.00267664
343		0.230004		0.00152951
344		0.229977		0.0058098
345		0.230453		0.0032229
346		0.231581		0.00476802
347		0.233231		0.00562642
348		0.234374		0.00734712
349		0.2351		0.00850205
350		0.235896		0.0104374
351		0.235592		0.0126731
352		0.236715		0.011803
353		0.236668		0.011643
354		0.236263		0.0114674
355		0.23613		0.0135042
356		0.236103		0.0155838
357		0.236329		0.0137734
358		0.236477		0.0136407
359		0.236505		0.0136798
360		0.236665		0.0130555
361		0.236969		0.0142845
362		0.237129		0.0141909
363		0.237449		0.0144289
364		0.237324		0.0144289
365		0.23748		0.0126107
366		0.237301		0.0146006
367		0.237461		0.0148503
368		0.237199		0
369		0.237297		0.00053845
370		0.23535		0.0115572
371		0.235642		0.00406569
372		0.23574		0.0070857
373		0.235806		0.00667991
374		0.235674		0.0004292
375		0.235428		1.95091e-05
376		0.235166		0.00012876
377		0.234632		1.17054e-05
378		0.234558		2.34109e-05
379		0.234265		5.07236e-05
380		0.234253		3.90181e-06
381		0.234398		0.000179483
382		0.234363		0.00132662
383		0.233879		0
384		0.234039		6.63309e-05
385		0.233742		0.00114713
386		0.233867		0.00189238
387		0.234386		0.00496311
388		0.235748		0.00811577
389		0.238026		0.00757342
390		0.239349		0.0104491
391		0.241593		0.0137188
392		0.243302		0.0147528
393		0.244066		0.0171095
